Artikel,Kurz,Mittel,Lang
"waschen, föhnen inkl. Kopfmassage",43.5,65.5,72.5
"waschen, legen inkl. Kopfmassage",65.5,72.5,87
"waschen, schneiden, föhnen inkl. Kopfmassage (60min / 60min / 75min)",87,91,105
"waschen, Messerhaarschnitt, föhnen, Kopfmassage (60min / 60min / 75min)",87,91,105
Aufpreis pro zusätzliche min.,1.45,1.45,1.45
"schneiden, föhnen ( Messer oder Schere)",82,86,100
"waschen, schneiden ( Messer oder Schere)",70.5,77.5,92
nur schneiden mit Messer oder Schere (ab 45min / 50min / 60min),65.5,72.5,87
"Fransen, Nacken, Kontur (pro min)",1.45,1.45,1.45
Splissschnitt mit Split-Ender  (pro min),,1.45,1.45
"Hochsteckfrisur (1h / 1,5h / 2h)",98,137,178
färben (bis: 50ml/ 70ml / 100ml),85,94,106
tönen (bis: 40ml / 60ml / 100ml),79,84,104
Aufpreis ( zusätzliche Farbe ),,,12.8
Fiberplex,20,20,20
Farbpflege (während der Farbe / 30ml / 60ml/ 90ml),12,24,36
Schaumtönung,44,58,73
"Folienméches (1h / 1,5h / 2h)",99,134,168
Ombré / Balayage inkl. Abmattierung (3h ),,257,277
"Ombré / Balayage inkl. Abmattierung (3,5h)",,301,321
Haubenméches,95,,
"Dauerwelle ganz (1,5h / 1,5h / 2h)",129,144,178
Dauerwelle halb,119,138,168
Wedding Package,,,
"Mini Paket, Brautfrisur & Probe (Probe 2h / Brautfrisur 1.5h)",315,,
Standard Paket / Brautfrisur & Probe / Braut Make- up & Probe (Probe 4h / Braut Make-up & Frisur 3h),598,,
Premium Paket / Brautfrisur & Probe / Braut Make- up & Probe (Probe 4h / Braut Make-up & Frisur 3h **Homeservice am Hochzeitstag**),900,,
